Sample1	Sample2	Genome	Noise	Resolution	Score
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	500	1000000	0.973571257701
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	750	40000	0.201190777453
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	750	200000	0.69705211975
GSE63525_hg38_GM12878_MboI_Rep1	GSE63525_hg38_GM12878_MboI_Rep2	hg38	750	1000000	0.943351723452
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	0	40000	0.496797469401
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	0	200000	0.903545484015
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	0	1000000	0.983666986537
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	1	40000	0.496626239134
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	1	200000	0.903501027977
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	1	1000000	0.9836549193
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	5	40000	0.495805865798
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	5	200000	0.903252266625
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	5	1000000	0.983621643315
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	10	40000	0.494807913141
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	10	200000	0.903004134945
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	10	1000000	0.983586858825
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	20	40000	0.492894469593
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	20	200000	0.902460482297
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	20	1000000	0.983495237734
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	50	40000	0.486692186675
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	50	200000	0.900667489936
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	50	1000000	0.983258052561
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	100	40000	0.475846175945
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	100	200000	0.897487558642
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	100	1000000	0.982958344588
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	200	40000	0.451080762132
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	200	200000	0.889604256924
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	200	1000000	0.981579928884
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	350	40000	0.404529314846
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	350	200000	0.871355910964
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	350	1000000	0.97803238221
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	500	40000	0.344083391294
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	500	200000	0.83992412444
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	500	1000000	0.971300271981
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	750	40000	0.204898468019
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	750	200000	0.701080809661
GSE63525_hg38_GM12878_MboI_Rep2	GSE63525_hg38_GM12878_MboI_Rep1	hg38	750	1000000	0.938544858992
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	40000	0.117699524155
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	200000	0.534267507823
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	1000000	0.886748136128
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	1	40000	0.117651278741
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	1	200000	0.534159138049
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	1	1000000	0.88667905054
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	5	40000	0.117291466253
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	5	200000	0.533323029564
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	5	1000000	0.886330489437
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	10	40000	0.116953423446
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	10	200000	0.532326537506
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	10	1000000	0.886156162659
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	20	40000	0.116098891015
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	20	200000	0.530382879902
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	20	1000000	0.885820315242
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	50	40000	0.113445878095
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	50	200000	0.524185823697
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	50	1000000	0.884034540523
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	100	40000	0.109294531881
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	100	200000	0.513053760466
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	100	1000000	0.881298497725
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	200	40000	0.100110357706
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	200	200000	0.488511611463
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	200	1000000	0.87289208191
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	350	40000	0.0864786945174
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	350	200000	0.440925782308
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	350	1000000	0.855717636423
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	500	40000	0.0722495808786
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	500	200000	0.37729769328
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	500	1000000	0.823664163379
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	750	40000	0.0474227778819
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	750	200000	0.224770400295
GSE63525_hg38_HMEC_MboI_Rep1	GSE63525_hg38_HMEC_MboI_Rep2	hg38	750	1000000	0.687248036283
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	40000	0.117699524155
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	200000	0.534267507823
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	1000000	0.886748136128
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	1	40000	0.117596277399
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	1	200000	0.534031681012
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	1	1000000	0.886705243433
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	5	40000	0.117203045423
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	5	200000	0.533038370784
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	5	1000000	0.886393763658
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	10	40000	0.116824315049
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	10	200000	0.531803459146
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	10	1000000	0.886033770224
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	20	40000	0.115957292272
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	20	200000	0.529358955146
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	20	1000000	0.88541375665
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	50	40000	0.113391656073
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	50	200000	0.522772161591
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	50	1000000	0.882911201366
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	100	40000	0.10908343321
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	100	200000	0.511013260725
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	100	1000000	0.879560052409
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	200	40000	0.100120492685
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	200	200000	0.484082992613
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	200	1000000	0.869457564572
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	350	40000	0.0859981727282
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	350	200000	0.432311938589
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	350	1000000	0.847957598297
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	500	40000	0.071665710406
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	500	200000	0.366245406134
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	500	1000000	0.81279738484
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	750	40000	0.047409706215
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	750	200000	0.212240108993
GSE63525_hg38_HMEC_MboI_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	750	1000000	0.671475950182
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	0	40000	0.677166317795
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	0	200000	0.951661965196
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	0	1000000	0.988510033259
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	1	40000	0.677011318702
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	1	200000	0.951635737684
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	1	1000000	0.98849782682
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	5	40000	0.676357708796
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	5	200000	0.951540494713
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	5	1000000	0.988492089147
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	10	40000	0.675556198383
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	10	200000	0.951411789433
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	10	1000000	0.988465816256
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	20	40000	0.673892544683
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	20	200000	0.951151272525
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	20	1000000	0.988412923023
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	50	40000	0.66869480543
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	50	200000	0.950134717427
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	50	1000000	0.988240776842
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	100	40000	0.659002368517
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	100	200000	0.948358664501
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	100	1000000	0.98785658579
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	200	40000	0.636876098738
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	200	200000	0.943990256043
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	200	1000000	0.987021140624
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	350	40000	0.592273186908
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	350	200000	0.934168858148
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	350	1000000	0.984724835834
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	500	40000	0.528127020799
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	500	200000	0.916974119012
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	500	1000000	0.980479916739
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	750	40000	0.348525038672
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	750	200000	0.833384781207
GSE63525_hg38_K562_MboI_Rep1	GSE63525_hg38_K562_MboI_Rep2	hg38	750	1000000	0.957495118882
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	40000	0.677166317795
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	200000	0.951661965196
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	1000000	0.988510033259
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	1	40000	0.677012896158
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	1	200000	0.951640330053
GSE63525_hg38_K562_MboI_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	1	1000000	0.988509756667
