Sample1	Sample2	Genome	Coverage	Resolution	Score
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	1000000	1000000	0.672505731884
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	2000000	40000	0.0248285924968
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	2000000	200000	0.248856889833
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	2000000	1000000	0.84823148469
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	5000000	40000	0.0956307803099
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	5000000	200000	0.61361638778
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	5000000	1000000	0.946786059326
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	10000000	40000	0.255576318751
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	10000000	200000	0.820004000776
GSE49017_mm10_NSC_HindIII_Rep1	GSE49017_mm10_NSC_HindIII_Rep2	mm10	10000000	1000000	0.974773901802
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	0	40000	0.862869907149
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	0	200000	0.966595700796
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	0	1000000	0.983296264956
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	1000000	40000	0.0103350339479
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	1000000	200000	0.0296762533628
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	1000000	1000000	0.403433206527
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	2000000	40000	0.0156800751152
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	2000000	200000	0.104263230733
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	2000000	1000000	0.668702611164
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	5000000	40000	0.0518007813369
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	5000000	200000	0.379364303582
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	5000000	1000000	0.872906816309
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	10000000	40000	0.149838905702
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	10000000	200000	0.652747133053
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	10000000	1000000	0.93702240551
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	20000000	40000	0.357116655728
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	20000000	200000	0.830309828351
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	20000000	1000000	0.962851282917
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	40000000	40000	0.604264627061
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	40000000	200000	0.915095830193
GSE52457_hg38_H1-ES_HindIII_Rep1	GSE52457_hg38_H1-ES_HindIII_Rep2	hg38	40000000	1000000	0.975453458573
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	40000	0.963355707005
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	200000	0.991553774198
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	1000000	0.997129794389
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	1000000	40000	0.0258475549004
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	1000000	200000	0.130807120325
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	1000000	1000000	0.607055520785
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	2000000	40000	0.0573300060545
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	2000000	200000	0.338970948041
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	2000000	1000000	0.802119008376
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	5000000	40000	0.196611967869
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	5000000	200000	0.692604699342
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	5000000	1000000	0.928094287983
