Sample	Genome	Coverage	Resolution	Score
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10000000	1000000	0.0988977950249
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	40000	0.0199089933929
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	200000	0.0691882652346
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	1000000	0.119151110071
Encode_hg38_Panc1_HindIII_Rep1	hg38	1000000	40000	0.000292328203846
Encode_hg38_Panc1_HindIII_Rep1	hg38	1000000	200000	0.00281791751871
Encode_hg38_Panc1_HindIII_Rep1	hg38	1000000	1000000	0.0253955267955
Encode_hg38_Panc1_HindIII_Rep1	hg38	2000000	40000	0.000828710331237
Encode_hg38_Panc1_HindIII_Rep1	hg38	2000000	200000	0.00769303453335
Encode_hg38_Panc1_HindIII_Rep1	hg38	2000000	1000000	0.0469531974249
Encode_hg38_Panc1_HindIII_Rep1	hg38	5000000	40000	0.00343943939918
Encode_hg38_Panc1_HindIII_Rep1	hg38	5000000	200000	0.023441960028
Encode_hg38_Panc1_HindIII_Rep1	hg38	5000000	1000000	0.080651785406
Encode_hg38_Panc1_HindIII_Rep1	hg38	10000000	40000	0.00918978076431
Encode_hg38_Panc1_HindIII_Rep1	hg38	10000000	200000	0.0447260113269
Encode_hg38_Panc1_HindIII_Rep1	hg38	10000000	1000000	0.104073535074
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	40000	0.0120277635149
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	200000	0.0526754167827
Encode_hg38_Panc1_HindIII_Rep2	hg38	0	1000000	0.110103265981
Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	40000	0.000335651796493
Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	200000	0.00293770078707
Encode_hg38_Panc1_HindIII_Rep2	hg38	1000000	1000000	0.0252912644899
Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	40000	0.00093635718717
Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	200000	0.00797657865356
Encode_hg38_Panc1_HindIII_Rep2	hg38	2000000	1000000	0.0474153851195
Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	40000	0.00375761463676
Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	200000	0.0246243997455
Encode_hg38_Panc1_HindIII_Rep2	hg38	5000000	1000000	0.0824350997969
Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	40000	0.0100305418028
Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	200000	0.0471360649455
Encode_hg38_Panc1_HindIII_Rep2	hg38	10000000	1000000	0.106203771404
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	40000	0.0189804061678
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	200000	0.0863049315278
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	1000000	0.119416896492
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	1000000	40000	0.000195717577298
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	1000000	200000	0.00355636995953
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	1000000	1000000	0.0300162529171
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	2000000	40000	0.000566513545098
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	2000000	200000	0.00970162436309
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	2000000	1000000	0.051774536114
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	5000000	40000	0.00246363493943
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	5000000	200000	0.0289467633836
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	5000000	1000000	0.0839163647398
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	10000000	40000	0.00700319981991
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	10000000	200000	0.053699266805
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	10000000	1000000	0.105001991428
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	20000000	40000	0.0173436474211
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	20000000	200000	0.0830585081599
Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	20000000	1000000	0.118472262527
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	40000	0.0327577659296
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	200000	0.108119225048
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	1000000	0.132685652567
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	40000	0.000226421731314
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	200000	0.00382365028415
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	1000000	1000000	0.03069931823
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	40000	0.000628609308567
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	200000	0.010262520288
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	2000000	1000000	0.0542326842348
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	40000	0.00270884883611
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	200000	0.0304572253107
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	5000000	1000000	0.0890018450018
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	40000	0.00759202399649
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	200000	0.0561492331341
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	10000000	1000000	0.110683455085
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	40000	0.0185861952914
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	200000	0.0861533418562
Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	20000000	1000000	0.1256965893
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	40000	0.000360627030421
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	200000	0.00295624070683
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	1000000	0.0247278988015
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	1000000	40000	0.000286001087682
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	1000000	200000	0.0023499266737
Encode_hg38_SJCRH30_HindIII_Rep1	hg38	1000000	1000000	0.0211448066058
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	40000	0.000147624226093
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	200000	0.000856530220769
Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	1000000	0.0104514529752
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	40000	0.00505066825251
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	200000	0.0286312523782
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	1000000	0.0924678690834
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	1000000	40000	0.00034304919139
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	1000000	200000	0.00261093255796
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	1000000	1000000	0.0241118826534
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	2000000	40000	0.00089927197344
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	2000000	200000	0.00715464132269
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	2000000	1000000	0.0459579798866
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	5000000	40000	0.00347654980592
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	5000000	200000	0.0220189068651
Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	5000000	1000000	0.082144947219
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	40000	0.0313140930234
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	200000	0.0864130367592
Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	1000000	0.134795197251
