Sample	Genome	Noise	Resolution	Score
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	350	40000	0.0171230959399
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	350	200000	0.0725506571527
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	350	1000000	0.118099382222
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	500	40000	0.0124992229376
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	500	200000	0.0618336100649
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	500	1000000	0.112757297267
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	750	40000	0.00493661817286
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	750	200000	0.0360115280756
Encode_hg38_NCI-H460_HindIII_Rep1	hg38	750	1000000	0.0945001497647
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	40000	0.0162069779896
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	200000	0.0695410657667
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	1000000	0.111670953569
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1	40000	0.0161863946325
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1	200000	0.069500499981
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	1	1000000	0.111656777025
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5	40000	0.0161122961764
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5	200000	0.0693595815767
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	5	1000000	0.111604237794
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10	40000	0.016020796464
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10	200000	0.0691805709653
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	10	1000000	0.111525709222
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	20	40000	0.0158367473917
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	20	200000	0.0687988851629
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	20	1000000	0.111377599441
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	50	40000	0.0152754990244
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	50	200000	0.0674836328468
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	50	1000000	0.110897574018
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	100	40000	0.0143136663254
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	100	200000	0.0653372243984
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	100	1000000	0.109927297293
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	200	40000	0.0123776243243
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	200	200000	0.0605896727266
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	200	1000000	0.108017124974
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	350	40000	0.00951654974422
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	350	200000	0.0526796595854
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	350	1000000	0.103889053755
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	500	40000	0.00670052390088
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	500	200000	0.0431861745986
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	500	1000000	0.097949486289
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	750	40000	0.00247084426457
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	750	200000	0.0225875410546
Encode_hg38_NCI-H460_HindIII_Rep2	hg38	750	1000000	0.0778734728281
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	40000	0.0199089933929
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	200000	0.0691882652346
Encode_hg38_Panc1_HindIII_Rep1	hg38	0	1000000	0.119151110071
Encode_hg38_Panc1_HindIII_Rep1	hg38	1	40000	0.0198884800037
Encode_hg38_Panc1_HindIII_Rep1	hg38	1	200000	0.0691440118322
Encode_hg38_Panc1_HindIII_Rep1	hg38	1	1000000	0.119138155271
Encode_hg38_Panc1_HindIII_Rep1	hg38	5	40000	0.0197957087447
